상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805454448,낫컴플리트,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017100,명륜2가,1.11102e+18,1,대지,150,2.0,서울특별시 종로구 명륜2가 150-2,111103000000.0,서울특별시 종로구 성균관로,12.0,5.0,1.11102e+24,,서울특별시 종로구 성균관로 12-5,110530,3074,,2,,126.9980961,37.5842039
MA010120220805466468,유환푸드,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111016900,혜화동,1.11102e+18,1,대지,84,3.0,서울특별시 종로구 혜화동 84-3,111104000000.0,서울특별시 종로구 창경궁로35길,13.0,,1.11102e+24,,서울특별시 종로구 창경궁로35길 13,110530,3076,,1,,127.001484,37.58655729
MA010120220805488786,버거파크,,I2,음식,I210,기타 간이,I21004,버거,I56111,한식 일반 음식점업,11,서울특별시,11110,종로구,11110650,혜화동,1111017200,명륜4가,1.11102e+18,1,대지,101,2.0,서울특별시 종로구 명륜4가 101-2,111104000000.0,서울특별시 종로구 대학로11길,5.0,,1.11102e+24,,서울특별시 종로구 대학로11길 5,110530,3079,,,,127.0013503,37.58215908
MA010120220805501127,디오엠,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11110,종로구,11110650,혜화동,1111017100,명륜2가,1.11102e+18,1,대지,195,11.0,서울특별시 종로구 명륜2가 195-11,111103000000.0,서울특별시 종로구 성균관로,4.0,8.0,1.11102e+24,,서울특별시 종로구 성균관로 4-8,110530,3074,,1,,126.9987267,37.58361456
MA010120220805505906,명륜진사갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017300,명륜3가,1.11102e+18,1,대지,53,,서울특별시 종로구 명륜3가 53,111103000000.0,서울특별시 종로구 성균관로,25.0,1.0,1.11102e+24,성균관대학교,서울특별시 종로구 성균관로 25-1,110745,3063,,1,,126.9951078,37.5858274
MA010120220805518093,로젤,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11110,종로구,11110650,혜화동,1111017200,명륜4가,1.11102e+18,1,대지,154,13.0,서울특별시 종로구 명륜4가 154-13,111104000000.0,서울특별시 종로구 창경궁로26길,33.0,,1.11102e+24,,서울특별시 종로구 창경궁로26길 33,110530,3079,,1,,126.9994414,37.58181854
MA010120220805803698,니카이야스미,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,11,서울특별시,11110,종로구,11110650,혜화동,1111017200,명륜4가,1.11102e+18,1,대지,173,2.0,서울특별시 종로구 명륜4가 173-2,111104000000.0,서울특별시 종로구 대명길,39.0,10.0,1.11102e+24,,서울특별시 종로구 대명길 39-10,110530,3078,,,,126.9995905,37.58252261
MA010120220805799958,스시사소우,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,11,서울특별시,11110,종로구,11110650,혜화동,1111017200,명륜4가,1.11102e+18,1,대지,183,,서울특별시 종로구 명륜4가 183,111104000000.0,서울특별시 종로구 대명길,45.0,,1.11102e+24,,서울특별시 종로구 대명길 45,110530,3078,,3,,126.9991794,37.58278043
MA010120220805906488,육미안,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11110,종로구,11110650,혜화동,1111017100,명륜2가,1.11102e+18,1,대지,182,1.0,서울특별시 종로구 명륜2가 182-1,111103000000.0,서울특별시 종로구 창경궁로,246.0,4.0,1.11102e+24,,서울특별시 종로구 창경궁로 246-4,110530,3077,,1,,126.9994337,37.58324212
MA010120220805927244,워터스트리트,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017000,명륜1가,1.11102e+18,1,대지,33,69.0,서울특별시 종로구 명륜1가 33-69,111103000000.0,서울특별시 종로구 혜화로,33.0,,1.11102e+24,,서울특별시 종로구 혜화로 33,110530,3068,,1,,126.9993855,37.58853081
